"divorces","date"
379,1993-01-15
539,1993-02-15
610,1993-03-15
428,1993-04-15
529,1993-05-15
592,1993-06-15
345,1993-07-15
630,1993-08-15
519,1993-09-15
520,1993-10-15
508,1993-11-15
306,1993-12-15
445,1994-01-15
573,1994-02-15
587,1994-03-15
509,1994-04-15
554,1994-05-15
560,1994-06-15
281,1994-07-15
660,1994-08-15
473,1994-09-15
518,1994-10-15
547,1994-11-15
294,1994-12-15
506,1995-01-15
528,1995-02-15
631,1995-03-15
436,1995-04-15
558,1995-05-15
536,1995-06-15
274,1995-07-15
662,1995-08-15
457,1995-09-15
532,1995-10-15
478,1995-11-15
280,1995-12-15
544,1996-01-15
577,1996-02-15
532,1996-03-15
458,1996-04-15
515,1996-05-15
524,1996-06-15
307,1996-07-15
487,1996-08-15
443,1996-09-15
544,1996-10-15
434,1996-11-15
243,1996-12-15
533,1997-01-15
620,1997-02-15
540,1997-03-15
636,1997-04-15
558,1997-05-15
569,1997-06-15
384,1997-07-15
689,1997-08-15
559,1997-09-15
633,1997-10-15
534,1997-11-15
322,1997-12-15
519,1998-01-15
630,1998-02-15
714,1998-03-15
592,1998-04-15
541,1998-05-15
628,1998-06-15
377,1998-07-15
717,1998-08-15
602,1998-09-15
684,1998-10-15
578,1998-11-15
331,1998-12-15
512,1999-01-15
646,1999-02-15
749,1999-03-15
677,1999-04-15
637,1999-05-15
680,1999-06-15
420,1999-07-15
756,1999-08-15
570,1999-09-15
631,1999-10-15
618,1999-11-15
398,1999-12-15
574,2000-01-15
692,2000-02-15
763,2000-03-15
579,2000-04-15
694,2000-05-15
689,2000-06-15
433,2000-07-15
807,2000-08-15
685,2000-09-15
706,2000-10-15
598,2000-11-15
322,2000-12-15
718,2001-01-15
676,2001-02-15
764,2001-03-15
668,2001-04-15
706,2001-05-15
705,2001-06-15
418,2001-07-15
851,2001-08-15
693,2001-09-15
787,2001-10-15
642,2001-11-15
372,2001-12-15
596,2002-01-15
754,2002-02-15
636,2002-03-15
657,2002-04-15
656,2002-05-15
579,2002-06-15
432,2002-07-15
733,2002-08-15
643,2002-09-15
700,2002-10-15
634,2002-11-15
387,2002-12-15
515,2003-01-15
660,2003-02-15
728,2003-03-15
629,2003-04-15
595,2003-05-15
632,2003-06-15
503,2003-07-15
673,2003-08-15
618,2003-09-15
630,2003-10-15
528,2003-11-15
377,2003-12-15
442,2004-01-15
613,2004-02-15
682,2004-03-15
600,2004-04-15
616,2004-05-15
611,2004-06-15
416,2004-07-15
680,2004-08-15
588,2004-09-15
587,2004-10-15
591,2004-11-15
426,2004-12-15
449,2005-01-15
650,2005-02-15
672,2005-03-15
609,2005-04-15
564,2005-05-15
683,2005-06-15
381,2005-07-15
687,2005-08-15
594,2005-09-15
577,2005-10-15
616,2005-11-15
434,2005-12-15
463,2006-01-15
607,2006-02-15
703,2006-03-15
536,2006-04-15
598,2006-05-15
663,2006-06-15
455,2006-07-15
760,2006-08-15
614,2006-09-15
593,2006-10-15
577,2006-11-15
335,2006-12-15
445,2007-01-15
547,2007-02-15
661,2007-03-15
515,2007-04-15
655,2007-05-15
674,2007-06-15
413,2007-07-15
693,2007-08-15
597,2007-09-15
716,2007-10-15
580,2007-11-15
371,2007-12-15
469,2008-01-15
687,2008-02-15
627,2008-03-15
692,2008-04-15
656,2008-05-15
663,2008-06-15
530,2008-07-15
631,2008-08-15
631,2008-09-15
573,2008-10-15
734,2008-11-15
517,2008-12-15
795,2009-01-15
896,2009-02-15
1026,2009-03-15
664,2009-04-15
820,2009-05-15
974,2009-06-15
582,2009-07-15
996,2009-08-15
841,2009-09-15
999,2009-10-15
883,2009-11-15
359,2009-12-15
