"marriage.year","divorce.filed","divorces","marriage.length","marriages","percent.divorce","cumulative.divorce"
1993,1993,532,0,659567,0.000806589777839098,0.000806589777839098
1993,1994,2106,1,659567,0.00319300389497959,0.00399959367281868
1993,1995,2873,2,659567,0.00435588802957092,0.0083554817023896
1993,1996,2840,3,659567,0.00430585520500571,0.0126613369073953
1993,1997,2993,4,659567,0.0045378255734444,0.0171991624808397
1993,1998,3038,5,659567,0.00460605215239695,0.0218052146332367
1993,1999,2994,6,659567,0.00453934171964334,0.02634455635288
1993,2000,3050,7,659567,0.0046242459067843,0.0309688022596643
1993,2001,2759,8,659567,0.00418304736289111,0.0351518496225554
1993,2002,2692,9,659567,0.00408146556756175,0.0392333151901172
1993,2003,2458,10,659567,0.00372668735700846,0.0429600025471256
1993,2004,2552,11,659567,0.00386920509970935,0.046829207646835
1993,2005,2473,12,659567,0.00374942954999265,0.0505786371968276
1993,2006,2390,13,659567,0.00362358941548016,0.0542022266123078
1993,2007,2414,14,659567,0.00365997692425485,0.0578622035365626
1993,2008,2383.6,15,659567,0.0036138860798069,0.0614760896163695
1993,2009,2323.12094373866,16,659567,0.00352219098854045,0.06499828060491
1994,1994,496,0,671640,0.000738490858197844,0.000738490858197844
1994,1995,1930,1,671640,0.0028735632183908,0.00361205407658865
1994,1996,2871,2,671640,0.00427461139896373,0.00788666547555238
1994,1997,3150,3,671640,0.00469001250670002,0.0125766779822524
1994,1998,3254,4,671640,0.00484485736406408,0.0174215353463165
1994,1999,3283,5,671640,0.00488803525698291,0.0223095706032994
1994,2000,3298,6,671640,0.00491036864987195,0.0272199392531713
1994,2001,3006,7,671640,0.00447561193496516,0.0316955511881365
1994,2002,2861,8,671640,0.00425972247037103,0.0359552736585075
1994,2003,2703,9,671640,0.0040244773986064,0.0399797510571139
1994,2004,2857,10,671640,0.00425376689893395,0.0442335179560479
1994,2005,2602,11,671640,0.00387409921982014,0.048107617175868
1994,2006,2599,12,671640,0.00386963254124233,0.0519772497171104
1994,2007,2610,13,671640,0.0038860103626943,0.0558632600798047
1994,2008,2566.41,14,671640,0.00382110952295873,0.0596843696027634
1994,2009,2378.42,15,671640,0.00354121255434459,0.063225582157108
1995,1995,485,0,658114,0.00073695438784162,0.00073695438784162
1995,1996,2045,1,658114,0.00310736437760023,0.00384431876544185
1995,1997,3138,2,658114,0.00476817086401444,0.00861248962945629
1995,1998,3311,3,658114,0.00503104325390434,0.0136435328833606
1995,1999,3316,4,658114,0.00503864072182023,0.0186821736051809
1995,2000,3548,5,658114,0.00539116323311767,0.0240733368382985
1995,2001,3228,6,658114,0.00490492528650052,0.028978262124799
1995,2002,3035,7,658114,0.00461166302494705,0.0335899251497461
1995,2003,2878,8,658114,0.00437310253238801,0.0379630276821341
1995,2004,2858,9,658114,0.00434271266072443,0.0423057403428585
1995,2005,2715,10,658114,0.00412542507832989,0.0464311654211884
1995,2006,2681,11,658114,0.00407376229650182,0.0505049277176902
1995,2007,2654,12,658114,0.004032735969756,0.0545376636874462
1995,2008,2683.57,13,658114,0.00407766739501059,0.0586153310824568
1995,2009,2475.23519480519,14,658114,0.00376110399536432,0.0623764350778212
1996,1996,497,0,670523,0.000741212456545115,0.000741212456545115
1996,1997,2206,1,670523,0.00328996917331695,0.00403118162986206
1996,1998,3390,2,670523,0.0050557549852876,0.00908693661514967
1996,1999,3490,3,670523,0.00520489230048783,0.0142918289156375
1996,2000,3727,4,670523,0.00555834773751236,0.0198501766531499
1996,2001,3604,5,670523,0.00537490883981608,0.0252250854929659
1996,2002,3328,6,670523,0.00496328984986346,0.0301883753428294
1996,2003,3120,7,670523,0.004653084234247,0.0348414595770764
1996,2004,3157,8,670523,0.00470826504087108,0.0395497246179475
1996,2005,2979,9,670523,0.00444280061981468,0.0439925252377622
1996,2006,2935,10,670523,0.00437718020112658,0.0483697054388888
1996,2007,2965,11,670523,0.00442192139568665,0.0527916268345754
1996,2008,2723.97,12,670523,0.00406245572485955,0.0568540825594349
1996,2009,2726.71977041776,13,670523,0.00406655665863477,0.0609206392180697
1997,1997,550,0,707840,0.000777011754068716,0.000777011754068716
1997,1998,2368,1,707840,0.00334538878842676,0.00412240054249548
1997,1999,3589,2,707840,0.00507035488245931,0.00919275542495479
1997,2000,3980,3,707840,0.00562273960216998,0.0148154950271248
1997,2001,3822,4,707840,0.0053995253164557,0.0202150203435805
1997,2002,3649,5,707840,0.00515511980108499,0.0253701401446655
1997,2003,3473,6,707840,0.004906476039783,0.0302766161844485
1997,2004,3496,7,707840,0.00493896925858951,0.035215585443038
1997,2005,3292,8,707840,0.00465076853526221,0.0398663539783002
1997,2006,3061,9,707840,0.00432442359855335,0.0441907775768535
1997,2007,3279,10,707840,0.00463240280289331,0.0488231803797468
1997,2008,3135.04,11,707840,0.00442902350813743,0.0532522038878843
1997,2009,3046.59390063033,12,707840,0.00430407140120695,0.0575562752890912
1998,1998,627,0,704456,0.000890048491318124,0.000890048491318124
1998,1999,2479,1,704456,0.00351902744813019,0.00440907593944831
1998,2000,4060,2,704456,0.00576331239992278,0.0101723883393711
1998,2001,4204,3,704456,0.00596772545056043,0.0161401137899315
1998,2002,4077,4,704456,0.00578744449617861,0.0219275582861101
1998,2003,3941,5,704456,0.00559438772613194,0.0275219460122421
1998,2004,3893,6,704456,0.00552625004258605,0.0330481960548281
1998,2005,3612,7,704456,0.00512736068682785,0.038175556741656
1998,2006,3657,8,704456,0.00519123976515212,0.0433667965068081
1998,2007,3712,9,704456,0.00526931419421511,0.0486361107010232
1998,2008,3486.52,10,704456,0.00494923742575832,0.0535853481267815
1998,2009,3260.95631443299,11,704456,0.00462904186270397,0.0582143899894855
1999,1999,512,0,743856,0.000688305263384311,0.000688305263384311
1999,2000,2833,1,743856,0.00380853283431202,0.00449683809769633
1999,2001,4149,2,743856,0.0055776924566045,0.0100745305543008
1999,2002,4151,3,743856,0.0055803811490396,0.0156549117033404
1999,2003,4155,4,743856,0.00558575853390979,0.0212406702372502
1999,2004,4345,5,743856,0.00584118431524381,0.027081854552494
1999,2005,4006,6,743856,0.00538545094749521,0.0324673054999892
1999,2006,3957,7,743856,0.00531957798283539,0.0377868834828246
1999,2007,3932,8,743856,0.0052859693273967,0.0430728528102213
1999,2008,3949.1,9,743856,0.00530895764771676,0.0483818104579381
1999,2009,3639.68035921205,10,743856,0.00489299052398858,0.0532748009819267
2000,2000,825,0,707422,0.00116620630967089,0.00116620630967089
2000,2001,2913,1,707422,0.00411776846069249,0.00528397477036338
2000,2002,4189,2,707422,0.0059215008863168,0.0112054756566802
2000,2003,4328,3,707422,0.00611798897970377,0.0173234646363839
2000,2004,4560,4,707422,0.00644594032981728,0.0237694049662012
2000,2005,4357,5,707422,0.00615898289846796,0.0299283878646692
2000,2006,4261,6,707422,0.00602327889152444,0.0359516667561936
2000,2007,4175,7,707422,0.00590171071863753,0.0418533774748311
2000,2008,4028.89,8,707422,0.0056951720472363,0.0475485495220674
2000,2009,3824.92887468031,9,707422,0.0054068559850843,0.0529554055071517
2001,2001,554,0,665434,0.000832539365286415,0.000832539365286415
2001,2002,2727,1,665434,0.00409807734501093,0.00493061671029734
2001,2003,4075,2,665434,0.00612382294863202,0.0110544396589294
