"divorce.filed","marriage.year","divorces","marriage.length"
1993,1920,10,73
1994,1920,5,74
1995,1920,10,75
1996,1920,12,76
1997,1920,4,77
1998,1920,8,78
1999,1920,1,79
2000,1920,23,80
1996,1921,2,75
1998,1921,1,77
1995,1922,1,73
1996,1922,1,74
2007,1922,1,85
1994,1923,1,71
1996,1923,2,73
1997,1923,1,74
1999,1923,1,76
2000,1923,1,77
1997,1925,1,72
2000,1927,1,73
1999,1929,1,70
1994,1930,1,64
1993,1931,1,62
1995,1931,1,64
1998,1931,1,67
1993,1934,1,59
1994,1934,1,60
1996,1934,1,62
1997,1934,1,63
1993,1935,1,58
1995,1935,1,60
1997,1935,1,62
2001,1935,1,66
1994,1936,1,58
1997,1937,1,60
1998,1937,1,61
2006,1937,1,69
1994,1938,1,56
1993,1939,1,54
1994,1939,1,55
1998,1939,2,59
1993,1940,3,53
1994,1940,2,54
1997,1940,2,57
2001,1940,1,61
2002,1940,1,62
1995,1941,1,54
1997,1941,1,56
2001,1941,1,60
2006,1941,1,65
1994,1942,1,52
1996,1942,2,54
1998,1942,2,56
2009,1942,1,67
1993,1943,1,50
1995,1943,2,52
1996,1943,1,53
1998,1943,1,55
2001,1943,1,58
2005,1943,1,62
1994,1944,1,50
1995,1944,1,51
1996,1944,1,52
2000,1944,1,56
2001,1944,1,57
1993,1945,2,48
1994,1945,4,49
1995,1945,1,50
1999,1945,4,54
2000,1945,1,55
2001,1945,1,56
2002,1945,3,57
2003,1945,2,58
2004,1945,1,59
2008,1945,1,63
1994,1946,1,48
1996,1946,2,50
1999,1946,1,53
2000,1946,4,54
2003,1946,1,57
2004,1946,1,58
2007,1946,1,61
1993,1947,1,46
1994,1947,1,47
1996,1947,2,49
1997,1947,2,50
1998,1947,1,51
1999,1947,1,52
2001,1947,2,54
2004,1947,1,57
1993,1948,1,45
1994,1948,4,46
1995,1948,5,47
1996,1948,4,48
1997,1948,4,49
1998,1948,1,50
1999,1948,3,51
2000,1948,1,52
2001,1948,1,53
2003,1948,2,55
2009,1948,1,61
1993,1949,1,44
1994,1949,3,45
1995,1949,5,46
1997,1949,5,48
1998,1949,1,49
1999,1949,3,50
2001,1949,2,52
2002,1949,1,53
2003,1949,1,54
2004,1949,4,55
2009,1949,1,60
1993,1950,5,43
1994,1950,4,44
1995,1950,5,45
1996,1950,7,46
1997,1950,1,47
1998,1950,2,48
1999,1950,7,49
2000,1950,3,50
2001,1950,1,51
2002,1950,1,52
2003,1950,1,53
2004,1950,3,54
2005,1950,1,55
2007,1950,1,57
2009,1950,1,59
1993,1951,4,42
1994,1951,2,43
1995,1951,3,44
1996,1951,5,45
1997,1951,3,46
1998,1951,2,47
1999,1951,3,48
2000,1951,4,49
2001,1951,5,50
2002,1951,1,51
2004,1951,3,53
2005,1951,1,54
2007,1951,1,56
2008,1951,1,57
2009,1951,1,58
1993,1952,6,41
1994,1952,4,42
1995,1952,4,43
1996,1952,6,44
1997,1952,1,45
1998,1952,4,46
1999,1952,2,47
2000,1952,5,48
2001,1952,1,49
2002,1952,2,50
2003,1952,2,51
2004,1952,1,52
2005,1952,1,53
2007,1952,1,55
2008,1952,2,56
2009,1952,2,57
1993,1953,6,40
1994,1953,5,41
1995,1953,4,42
1996,1953,10,43
1997,1953,2,44
1998,1953,1,45
1999,1953,4,46
2000,1953,3,47
2001,1953,2,48
2002,1953,2,49
2003,1953,1,50
2004,1953,3,51
2005,1953,1,52
1993,1954,10,39
1994,1954,5,40
1995,1954,13,41
1996,1954,6,42
1997,1954,5,43
1998,1954,3,44
1999,1954,9,45
2000,1954,2,46
2001,1954,5,47
2002,1954,3,48
2003,1954,2,49
2004,1954,1,50
2006,1954,5,52
2007,1954,1,53
2009,1954,1,55
1993,1955,5,38
1994,1955,10,39
1995,1955,6,40
1996,1955,7,41
1997,1955,11,42
1998,1955,4,43
1999,1955,9,44
2000,1955,5,45
2001,1955,4,46
2002,1955,5,47
2003,1955,5,48
2004,1955,3,49
2005,1955,7,50
2006,1955,1,51
2007,1955,2,52
2008,1955,1,53
1993,1956,6,37
1994,1956,8,38
1995,1956,11,39
1996,1956,15,40
1997,1956,8,41
1998,1956,7,42
1999,1956,4,43
2000,1956,8,44
2001,1956,10,45
2002,1956,3,46
2003,1956,4,47
2004,1956,1,48
2005,1956,1,49
2006,1956,1,50
2007,1956,6,51
2008,1956,3,52
2009,1956,2,53
1993,1957,15,36
1994,1957,16,37
1995,1957,12,38
1996,1957,8,39
1997,1957,10,40
1998,1957,14,41
1999,1957,4,42
2000,1957,9,43
2001,1957,10,44
2002,1957,7,45
2003,1957,9,46
2004,1957,7,47
2005,1957,3,48
2006,1957,4,49
2007,1957,3,50
2009,1957,9,52
1993,1958,11,35
1994,1958,22,36
1995,1958,9,37
1996,1958,18,38
1997,1958,12,39
1998,1958,15,40
1999,1958,9,41
2000,1958,10,42
2001,1958,10,43
2002,1958,7,44
2003,1958,7,45
2004,1958,6,46
2005,1958,2,47
2006,1958,6,48
2007,1958,4,49
2008,1958,1,50
2009,1958,2,51
1993,1959,21,34
1994,1959,15,35
1995,1959,14,36
1996,1959,20,37
1997,1959,12,38
1998,1959,16,39
1999,1959,8,40
2000,1959,7,41
2001,1959,7,42
2002,1959,7,43
2003,1959,6,44
2004,1959,8,45
2005,1959,9,46
2006,1959,4,47
2007,1959,3,48
2008,1959,4,49
2009,1959,4,50
1993,1960,19,33
1994,1960,29,34
1995,1960,18,35
1996,1960,15,36
1997,1960,21,37
1998,1960,13,38
1999,1960,14,39
2000,1960,13,40
2001,1960,14,41
2002,1960,15,42
2003,1960,11,43
2004,1960,12,44
2005,1960,6,45
2006,1960,2,46
2007,1960,2,47
2008,1960,6,48
2009,1960,5,49
1993,1961,16,32
1994,1961,25,33
1995,1961,25,34
1996,1961,17,35
1997,1961,15,36
1998,1961,8,37
1999,1961,12,38
2000,1961,8,39
2001,1961,8,40
2002,1961,11,41
2003,1961,9,42
2004,1961,13,43
2005,1961,3,44
2006,1961,8,45
