Divorcios,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Año del matrimonio : Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ent y mun de registro : Distrito Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Consulta de: Divorcios   Por: Ent y mun matrimonio y Año de demanda   Según: Año registro hecho,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
,Total,Total,3326,4281,4891,5525,5505,5610,5871,6375,5786,6609,6831,6904,6410,6806,7263,7265,7724,7691,7418,6785,7106,6924,7035,7692,9386,11053
,Total,1920,,,,,,,,,1,1,,,,,,,,,,,,,,,,
,Total,1959,,,,,,,,,,,1,,,,,,,,,,,,,,,
,Total,1962,,,,,,,,,,1,,,,,,,,,,,,,,,,
,Total,1963,,,,,,,,,,,1,,,,,,,,,,,,,,,
,Total,1965,,,,,,,,,,1,,,,,,,,,,,,,,,,
,Total,1966,,,,,,,,,,,1,,,,,,,,,,,,,,,
,Total,1967,,,,,,,,,,2,,1,,,1,,,,,,,,,,,
,Total,1968,,,,,,,,,,,,1,,,,,,,,,,,,,,
,Total,1969,,,,,,,,,1,,,,,,,,,,,,,,,,,
,Total,1970,,,,,,,,,,,,,,,,1,,,,,,,,,,
,Total,1971,,,,,,,,,,3,1,1,,,,,,,,,,,,,,
,Total,1972,,,,,,,,,1,2,2,,,,,,,,,,,,,,,
,Total,1973,,,,,,,,,1,2,,1,,,,1,,,,,,,,,,
,Total,1974,,,,,,,,,,1,3,1,,,,1,,,,,,,,,,
,Total,1975,,,,,,,,,1,1,2,,,,,,,,,,,,,,,
,Total,1976,,,,,,,,,2,4,2,2,,,,,,,,,,,,,,
,Total,1977,,,,,,,,,2,2,2,7,,,1,,,,,,,,,,,
,Total,1978,,,,,,,,,3,4,7,1,1,,1,,,,,,,,,,,
,Total,1979,,,,,,,,,1,9,3,1,,,,1,,,,,,,,,,
,Total,1980,,,,,,,,,2,6,9,6,,,,,,,1,,2,,,1,1,
,Total,1981,,,,,,,,,2,9,12,6,,,1,,,,2,,1,,,,,
,Total,1982,,,,,,,,,6,14,5,4,,,2,,,2,,,,,1,1,,
,Total,1983,,,,,,,,,5,19,10,10,,,1,1,,3,,,1,,,,,
,Total,1984,,,,,,,,,7,20,17,13,,1,1,1,1,1,,3,,,,,,
,Total,1985,3326,,,,,,,,5,20,19,15,1,,1,,,,1,1,1,,,,1,
,Total,1986,,4281,,,,,,,5,30,24,23,2,1,1,2,,,,,,1,,,,
,Total,1987,,,4891,,,,,,16,48,40,39,1,,1,2,2,,2,,,,1,,,
,Total,1988,,,,5525,,,,,22,55,50,32,2,3,3,2,,1,,,,1,1,,,
,Total,1989,,,,,5505,,,,29,91,56,45,3,2,3,2,2,,2,1,,,1,,,
,Total,1990,,,,,,5610,,,59,115,95,65,1,3,4,1,3,2,1,,,,2,,2,
,Total,1991,,,,,,,5871,,169,157,114,110,4,4,1,1,2,1,,,1,1,,1,2,
,Total,1992,,,,,,,,6375,1953,295,174,135,6,6,10,3,3,2,3,,1,2,,1,1,
,Total,1993,,,,,,,,,3484,2283,345,169,18,6,4,4,1,,5,1,1,,2,1,,
,Total,1994,,,,,,,,,,3399,2476,350,28,11,10,7,5,2,1,1,4,,2,,1,
,Total,1995,,,,,,,,,,,3360,2427,144,24,10,7,4,3,4,3,7,4,,,,1
,Total,1996,,,,,,,,,,,,3439,2012,104,27,12,4,7,2,1,2,4,,1,,1
,Total,1997,,,,,,,,,,,,,4187,2204,133,20,10,9,5,3,8,3,2,1,1,2
,Total,1998,,,,,,,,,,,,,,4437,2296,109,46,14,6,4,5,4,2,,2,
,Total,1999,,,,,,,,,,,,,,,4751,2323,146,37,17,13,10,6,4,,2,
,Total,2000,,,,,,,,,,,,,,,,4763,2511,182,44,20,13,8,5,3,1,1
,Total,2001,,,,,,,,,,,,,,,,,4984,2701,232,36,18,15,9,2,1,3
,Total,2002,,,,,,,,,,,,,,,,,,4724,2413,177,45,19,12,7,4,6
,Total,2003,,,,,,,,,,,,,,,,,,,4677,2146,177,52,19,10,7,2
,Total,2004,,,,,,,,,,,,,,,,,,,,4375,2239,174,31,17,10,6
,Total,2005,,,,,,,,,,,,,,,,,,,,,4569,2095,185,49,14,4
,Total,2006,,,,,,,,,,,,,,,,,,,,,,4535,2128,188,38,15
,Total,2007,,,,,,,,,,,,,,,,,,,,,,,4628,2062,150,27
,Total,2008,,,,,,,,,,,,,,,,,,,,,,,,5347,1941,122
,Total,2009,,,,,,,,,,,,,,,,,,,,,,,,,7207,2628
,Total,2010,,,,,,,,,,,,,,,,,,,,,,,,,,8235
,Total,No especificado,,,,,,,,,9,15,,,,,,1,,,,,1,,,,,
#NAME?,Aguascalientes,Total,,,,,,,,,2,7,2,3,5,1,3,5,5,5,3,3,3,2,2,3,3,8
#NAME?,Aguascalientes,1988,,,,,,,,,,1,,,,,,,,,,,,,,,,
#NAME?,Aguascalientes,1993,,,,,,,,,2,5,1,,,,,,,,,,,,,,,
#NAME?,Aguascalientes,1994,,,,,,,,,,1,1,,,,,,,,,,,,,,,
#NAME?,Aguascalientes,1995,,,,,,,,,,,,2,1,,,,,,,,,,,,,
#NAME?,Aguascalientes,1996,,,,,,,,,,,,1,,,,,,,,,,,,,,
#NAME?,Aguascalientes,1997,,,,,,,,,,,,,4,,,,,,,,1,,,,,
#NAME?,Aguascalientes,1998,,,,,,,,,,,,,,1,1,,,,,,,,,,,
#NAME?,Aguascalientes,1999,,,,,,,,,,,,,,,2,3,,,,,,,,,,
#NAME?,Aguascalientes,2000,,,,,,,,,,,,,,,,2,3,,,,,,,,,
#NAME?,Aguascalientes,2001,,,,,,,,,,,,,,,,,2,1,,,,,,,,
#NAME?,Aguascalientes,2002,,,,,,,,,,,,,,,,,,4,1,,,,,,,
#NAME?,Aguascalientes,2003,,,,,,,,,,,,,,,,,,,2,3,,,,,,
#NAME?,Aguascalientes,2004,,,,,,,,,,,,,,,,,,,,,2,,,,,
#NAME?,Aguascalientes,2005,,,,,,,,,,,,,,,,,,,,,,1,,,,
#NAME?,Aguascalientes,2006,,,,,,,,,,,,,,,,,,,,,,1,2,,,
#NAME?,Aguascalientes,2007,,,,,,,,,,,,,,,,,,,,,,,,2,,
#NAME?,Aguascalientes,2008,,,,,,,,,,,,,,,,,,,,,,,,1,1,
#NAME?,Aguascalientes,2009,,,,,,,,,,,,,,,,,,,,,,,,,2,3
#NAME?,Aguascalientes,2010,,,,,,,,,,,,,,,,,,,,,,,,,,5
#NAME?,Baja California,Total,,,,,,,,,8,7,8,7,5,9,5,6,4,11,6,9,4,3,1,5,5,7
#NAME?,Baja California,1966,,,,,,,,,,,1,,,,,,,,,,,,,,,
#NAME?,Baja California,1993,,,,,,,,,8,2,,,,,,,,,,,,,,,,
#NAME?,Baja California,1994,,,,,,,,,,5,3,1,,,,,,,,,,,,,,
#NAME?,Baja California,1995,,,,,,,,,,,4,3,,,,,,,,,,,,,,
#NAME?,Baja California,1996,,,,,,,,,,,,3,2,,,,,,,,,,,,,
#NAME?,Baja California,1997,,,,,,,,,,,,,3,3,,,,,,,,,,,,
#NAME?,Baja California,1998,,,,,,,,,,,,,,6,1,,,,,,,,,,,
#NAME?,Baja California,1999,,,,,,,,,,,,,,,4,3,,,,,,,,,,
#NAME?,Baja California,2000,,,,,,,,,,,,,,,,3,3,2,,,,,,,,
#NAME?,Baja California,2001,,,,,,,,,,,,,,,,,1,4,,,,,,,,
#NAME?,Baja California,2002,,,,,,,,,,,,,,,,,,5,4,,,,,,,
#NAME?,Baja California,2003,,,,,,,,,,,,,,,,,,,2,7,1,,,,,
#NAME?,Baja California,2004,,,,,,,,,,,,,,,,,,,,2,3,,,,,
#NAME?,Baja California,2005,,,,,,,,,,,,,,,,,,,,,,1,,,,
#NAME?,Baja California,2006,,,,,,,,,,,,,,,,,,,,,,2,1,1,,
#NAME?,Baja California,2007,,,,,,,,,,,,,,,,,,,,,,,,2,,
#NAME?,Baja California,2008,,,,,,,,,,,,,,,,,,,,,,,,2,1,
#NAME?,Baja California,2009,,,,,,,,,,,,,,,,,,,,,,,,,4,4
#NAME?,Baja California,2010,,,,,,,,,,,,,,,,,,,,,,,,,,3
#NAME?,Baja California Sur,Total,,,,,,,,,4,,2,2,3,2,1,,,3,3,3,,2,,,320,335
#NAME?,Baja California Sur,1992,,,,,,,,,2,,,,,,,,,,,,,,,,,
#NAME?,Baja California Sur,1993,,,,,,,,,2,,,,,,,,,,,,,,,,,
#NAME?,Baja California Sur,1995,,,,,,,,,,,2,,,,,,,,,,,,,,,
#NAME?,Baja California Sur,1996,,,,,,,,,,,,2,1,,,,,,,,,,,,,
#NAME?,Baja California Sur,1997,,,,,,,,,,,,,2,,,,,,,,,,,,,
#NAME?,Baja California Sur,1998,,,,,,,,,,,,,,2,,,,,,,,,,,,
#NAME?,Baja California Sur,1999,,,,,,,,,,,,,,,1,,,,,,,,,,,
#NAME?,Baja California Sur,2002,,,,,,,,,,,,,,,,,,3,3,,,,,,,
#NAME?,Baja California Sur,2003,,,,,,,,,,,,,,,,,,,,1,,,,,,
#NAME?,Baja California Sur,2004,,,,,,,,,,,,,,,,,,,,2,,,,,,
#NAME?,Baja California Sur,2005,,,,,,,,,,,,,,,,,,,,,,1,,,,
#NAME?,Baja California Sur,2006,,,,,,,,,,,,,,,,,,,,,,1,,,,
#NAME?,Baja California Sur,2008,,,,,,,,,,,,,,,,,,,,,,,,,1,
#NAME?,Baja California Sur,2009,,,,,,,,,,,,,,,,,,,,,,,,,319,
#NAME?,Baja California Sur,2010,,,,,,,,,,,,,,,,,,,,,,,,,,335
#NAME?,Campeche,Total,,,,,,,,,2,2,4,1,4,1,1,4,3,2,3,4,,1,1,2,44,43
#NAME?,Campeche,1992,,,,,,,,,1,,,,,,,,,,,,,,,,,
#NAME?,Campeche,1993,,,,,,,,,1,,1,,,,,,,,,,,,,,,
#NAME?,Campeche,1994,,,,,,,,,,2,1,1,,,,,,,,,,,,,,
#NAME?,Campeche,1995,,,,,,,,,,,2,,,,,,,,,,,,,,,
#NAME?,Campeche,1996,,,,,,,,,,,,,1,,,,,,,,,,,,,
#NAME?,Campeche,1997,,,,,,,,,,,,,3,,,,,,,,,,,,,
#NAME?,Campeche,1998,,,,,,,,,,,,,,1,,,,,,,,,,,,
#NAME?,Campeche,1999,,,,,,,,,,,,,,,1,,,,,,,,,,,
#NAME?,Campeche,2000,,,,,,,,,,,,,,,,4,1,,,,,,,,,
#NAME?,Campeche,2001,,,,,,,,,,,,,,,,,2,1,,,,,,,,
#NAME?,Campeche,2002,,,,,,,,,,,,,,,,,,1,,,,,,,,
#NAME?,Campeche,2003,,,,,,,,,,,,,,,,,,,3,3,,,,,,
#NAME?,Campeche,2004,,,,,,,,,,,,,,,,,,,,1,,,,,,
#NAME?,Campeche,2006,,,,,,,,,,,,,,,,,,,,,,1,1,,,
#NAME?,Campeche,2007,,,,,,,,,,,,,,,,,,,,,,,,1,,
#NAME?,Campeche,2008,,,,,,,,,,,,,,,,,,,,,,,,1,,
#NAME?,Campeche,2009,,,,,,,,,,,,,,,,,,,,,,,,,44,1
#NAME?,Campeche,2010,,,,,,,,,,,,,,,,,,,,,,,,,,42
#NAME?,Coahuila de Zaragoza,Total,,,,,,,,,5,8,7,9,4,3,5,5,8,10,3,4,3,8,1,2,323,242
#NAME?,Coahuila de Zaragoza,1973,,,,,,,,,,,,1,,,,,,,,,,,,,,
#NAME?,Coahuila de Zaragoza,1989,,,,,,,,,,,,1,,,,,,,,,,,,,,
#NAME?,Coahuila de Zaragoza,1990,,,,,,,,,,1,,,,,,,,,,,,,,,,
#NAME?,Coahuila de Zaragoza,1992,,,,,,,,,3,,,,,,1,,,,,,,,,,,
#NAME?,Coahuila de Zaragoza,1993,,,,,,,,,2,3,,,,,,,,,,,,,,,,
