Divorcios,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ent y mun de registro : Distrito Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Consulta de: Divorcios   Por: Año de demanda y Mes de demanda   Según: Año registro hecho,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Total,Total,3326,4281,4891,5525,5505,5610,5871,6375,5786,6609,6831,6904,6410,6806,7263,7265,7724,7691,7418,6785,7106,6924,7035,7692,9386,11053
Total,Enero,459,124,420,377,433,420,441,558,392,432,502,545,555,506,513,565,670,636,520,446,443,461,454,476,825,890
Total,Febrero,335,204,462,462,490,495,485,515,546,549,512,593,632,639,634,674,661,748,690,626,649,612,564,695,903,971
Total,Marzo,331,243,490,488,500,527,436,677,591,575,594,596,541,694,756,750,747,675,716,678,701,689,658,666,1029,1043
Total,Abril,318,364,405,405,442,468,549,570,436,488,442,468,623,589,678,602,643,661,643,582,613,565,504,692,724,1023
Total,Mayo,427,356,411,492,521,474,511,531,500,537,577,543,553,560,611,652,700,676,602,612,566,584,684,678,848,995
Total,Junio,358,449,412,538,504,549,536,640,537,571,513,580,573,592,707,640,687,604,661,589,694,684,647,744,991,1043
Total,Julio,263,333,341,332,297,326,373,380,354,250,275,319,370,371,428,418,425,448,462,455,389,416,461,533,584,610
Total,Agosto,379,448,399,590,517,493,514,569,606,602,701,620,586,721,727,763,788,793,738,629,764,722,742,729,955,1141
Total,Septiembre,171,434,375,458,454,530,513,510,456,474,496,462,515,594,570,595,703,662,669,612,586,610,662,663,761,855
Total,Octubre,85,539,365,540,513,580,603,571,481,478,542,550,606,682,644,648,698,777,718,579,634,571,702,730,706,1010
Total,Noviembre,98,437,425,522,468,485,535,489,409,518,497,501,522,521,615,606,610,634,630,550,614,626,596,652,732,930
Total,Diciembre,102,350,386,321,366,263,375,365,293,299,274,263,323,326,364,342,391,377,368,427,451,384,361,434,328,542
Total,No especificado,,,,,,,,,185,836,906,864,11,11,16,10,1,,1,,2,,,,,
1920,Total,,,,,,,,,1,1,,,,,,,,,,,,,,,,
1920,No especificado,,,,,,,,,1,1,,,,,,,,,,,,,,,,
1959,Total,,,,,,,,,,,1,,,,,,,,,,,,,,,
1959,No especificado,,,,,,,,,,,1,,,,,,,,,,,,,,,
1962,Total,,,,,,,,,,1,,,,,,,,,,,,,,,,
1962,No especificado,,,,,,,,,,1,,,,,,,,,,,,,,,,
1963,Total,,,,,,,,,,,1,,,,,,,,,,,,,,,
1963,No especificado,,,,,,,,,,,1,,,,,,,,,,,,,,,
1965,Total,,,,,,,,,,1,,,,,,,,,,,,,,,,
1965,No especificado,,,,,,,,,,1,,,,,,,,,,,,,,,,
1966,Total,,,,,,,,,,,1,,,,,,,,,,,,,,,
1966,No especificado,,,,,,,,,,,1,,,,,,,,,,,,,,,
1967,Total,,,,,,,,,,2,,1,,,1,,,,,,,,,,,
1967,Abril,,,,,,,,,,,,,,,1,,,,,,,,,,,
1967,No especificado,,,,,,,,,,2,,1,,,,,,,,,,,,,,
1968,Total,,,,,,,,,,,,1,,,,,,,,,,,,,,
1968,No especificado,,,,,,,,,,,,1,,,,,,,,,,,,,,
1969,Total,,,,,,,,,1,,,,,,,,,,,,,,,,,
1969,No especificado,,,,,,,,,1,,,,,,,,,,,,,,,,,
1970,Total,,,,,,,,,,,,,,,,1,,,,,,,,,,
1970,Septiembre,,,,,,,,,,,,,,,,1,,,,,,,,,,
1971,Total,,,,,,,,,,3,1,1,,,,,,,,,,,,,,
1971,No especificado,,,,,,,,,,3,1,1,,,,,,,,,,,,,,
1972,Total,,,,,,,,,1,2,2,,,,,,,,,,,,,,,
1972,Noviembre,,,,,,,,,1,,,,,,,,,,,,,,,,,
1972,No especificado,,,,,,,,,,2,2,,,,,,,,,,,,,,,
1973,Total,,,,,,,,,1,2,,1,,,,1,,,,,,,,,,
1973,Agosto,,,,,,,,,,,,,,,,1,,,,,,,,,,
1973,Septiembre,,,,,,,,,1,,,,,,,,,,,,,,,,,
1973,No especificado,,,,,,,,,,2,,1,,,,,,,,,,,,,,
1974,Total,,,,,,,,,,1,3,1,,,,1,,,,,,,,,,
1974,Febrero,,,,,,,,,,,,,,,,1,,,,,,,,,,
1974,No especificado,,,,,,,,,,1,3,1,,,,,,,,,,,,,,
1975,Total,,,,,,,,,1,1,2,,,,,,,,,,,,,,,
1975,No especificado,,,,,,,,,1,1,2,,,,,,,,,,,,,,,
1976,Total,,,,,,,,,2,4,2,2,,,,,,,,,,,,,,
1976,Mayo,,,,,,,,,,,,1,,,,,,,,,,,,,,
1976,Agosto,,,,,,,,,1,,,,,,,,,,,,,,,,,
1976,No especificado,,,,,,,,,1,4,2,1,,,,,,,,,,,,,,
1977,Total,,,,,,,,,2,2,2,7,,,1,,,,,,,,,,,
1977,Marzo,,,,,,,,,,,,,,,1,,,,,,,,,,,
1977,Octubre,,,,,,,,,,,,1,,,,,,,,,,,,,,
1977,No especificado,,,,,,,,,2,2,2,6,,,,,,,,,,,,,,
1978,Total,,,,,,,,,3,4,7,1,1,,1,,,,,,,,,,,
1978,Marzo,,,,,,,,,,,,,,,1,,,,,,,,,,,
1978,Septiembre,,,,,,,,,,,,,1,,,,,,,,,,,,,
1978,No especificado,,,,,,,,,3,4,7,1,,,,,,,,,,,,,,
1979,Total,,,,,,,,,1,9,3,1,,,,1,,,,,,,,,,
1979,Marzo,,,,,,,,,,,,,,,,1,,,,,,,,,,
1979,Junio,,,,,,,,,,1,,,,,,,,,,,,,,,,
1979,No especificado,,,,,,,,,1,8,3,1,,,,,,,,,,,,,,
1980,Total,,,,,,,,,2,6,9,6,,,,,,,1,,2,,,1,1,
1980,Marzo,,,,,,,,,1,1,,,,,,,,,,,,,,,,
1980,Mayo,,,,,,,,,,,,,,,,,,,,,,,,1,1,
1980,Agosto,,,,,,,,,,,,,,,,,,,1,,,,,,,
1980,Octubre,,,,,,,,,,,,,,,,,,,,,2,,,,,
1980,Noviembre,,,,,,,,,,1,,,,,,,,,,,,,,,,
1980,No especificado,,,,,,,,,1,4,9,6,,,,,,,,,,,,,,
1981,Total,,,,,,,,,2,9,12,6,,,1,,,,2,,1,,,,,
1981,Marzo,,,,,,,,,,,,,,,,,,,,,1,,,,,
1981,Junio,,,,,,,,,,,,,,,,,,,1,,,,,,,
1981,Julio,,,,,,,,,1,1,,,,,,,,,,,,,,,,
1981,Agosto,,,,,,,,,,,,,,,1,,,,,,,,,,,
1981,Noviembre,,,,,,,,,1,,,,,,,,,,,,,,,,,
1981,Diciembre,,,,,,,,,,,,,,,,,,,1,,,,,,,
1981,No especificado,,,,,,,,,,8,12,6,,,,,,,,,,,,,,
1982,Total,,,,,,,,,6,14,5,4,,,2,,,2,,,,,1,1,,
1982,Marzo,,,,,,,,,,,,,,,,,,1,,,,,,,,
1982,Mayo,,,,,,,,,,,,,,,1,,,,,,,,1,,,
1982,Julio,,,,,,,,,,,,,,,,,,1,,,,,,1,,
1982,Agosto,,,,,,,,,1,,,,,,,,,,,,,,,,,
1982,Septiembre,,,,,,,,,,,1,,,,,,,,,,,,,,,
1982,Noviembre,,,,,,,,,1,,,,,,1,,,,,,,,,,,
1982,No especificado,,,,,,,,,4,14,4,4,,,,,,,,,,,,,,
1983,Total,,,,,,,,,5,19,10,10,,,1,1,,3,,,1,,,,,
1983,Febrero,,,,,,,,,,,,,,,,,,1,,,,,,,,
1983,Marzo,,,,,,,,,,,,,,,,,,1,,,,,,,,
1983,Abril,,,,,,,,,,,,,,,,1,,,,,1,,,,,
1983,Mayo,,,,,,,,,1,2,,,,,,,,,,,,,,,,
1983,Junio,,,,,,,,,,,,,,,,,,1,,,,,,,,
1983,Septiembre,,,,,,,,,,,1,,,,,,,,,,,,,,,
1983,Diciembre,,,,,,,,,,1,,,,,1,,,,,,,,,,,
1983,No especificado,,,,,,,,,4,16,9,10,,,,,,,,,,,,,,
1984,Total,,,,,,,,,7,20,17,13,,1,1,1,1,1,,3,,,,,,
1984,Febrero,,,,,,,,,,,,,,1,,,,,,,,,,,,
1984,Marzo,,,,,,,,,,1,,,,,,,1,,,,,,,,,
1984,Abril,,,,,,,,,1,1,,1,,,,,,,,1,,,,,,
1984,Mayo,,,,,,,,,,1,,,,,,,,,,,,,,,,
1984,Junio,,,,,,,,,,,,,,,,,,1,,,,,,,,
1984,Agosto,,,,,,,,,,1,,,,,,,,,,1,,,,,,
1984,Septiembre,,,,,,,,,,,,1,,,1,1,,,,1,,,,,,
1984,Octubre,,,,,,,,,,1,,,,,,,,,,,,,,,,
1984,Diciembre,,,,,,,,,,1,,,,,,,,,,,,,,,,
1984,No especificado,,,,,,,,,6,14,17,11,,,,,,,,,,,,,,
1985,Total,3326,,,,,,,,5,20,19,15,1,,1,,,,1,1,1,,,,1,
1985,Enero,459,,,,,,,,,,,,,,,,,,1,,,,,,,
1985,Febrero,335,,,,,,,,,,,,,,,,,,,,,,,,1,
1985,Marzo,331,,,,,,,,1,,,1,,,1,,,,,,,,,,,
1985,Abril,318,,,,,,,,,,,1,1,,,,,,,,,,,,,
1985,Mayo,427,,,,,,,,,,,,,,,,,,,,,,,,,
1985,Junio,358,,,,,,,,,,,,,,,,,,,,,,,,,
1985,Julio,263,,,,,,,,,,,,,,,,,,,,,,,,,
1985,Agosto,379,,,,,,,,,,,,,,,,,,,,,,,,,
1985,Septiembre,171,,,,,,,,,,,,,,,,,,,,1,,,,,
1985,Octubre,85,,,,,,,,,,,,,,,,,,,,,,,,,
1985,Noviembre,98,,,,,,,,,,,,,,,,,,,1,,,,,,
1985,Diciembre,102,,,,,,,,,,,,,,,,,,,,,,,,,
1985,No especificado,,,,,,,,,4,20,19,13,,,,,,,,,,,,,,
1986,Total,,4281,,,,,,,5,30,24,23,2,1,1,2,,,,,,1,,,,
1986,Enero,,124,,,,,,,,,,,,,,,,,,,,,,,,
1986,Febrero,,204,,,,,,,,1,,1,,,,1,,,,,,,,,,
1986,Marzo,,243,,,,,,,,,,1,1,,,,,,,,,,,,,
1986,Abril,,364,,,,,,,,,,,,1,,,,,,,,,,,,
1986,Mayo,,356,,,,,,,,,,1,,,,,,,,,,,,,,
1986,Junio,,449,,,,,,,,,2,,1,,,,,,,,,,,,,
1986,Julio,,333,,,,,,,,,,,,,,,,,,,,1,,,,
1986,Agosto,,448,,,,,,,,,1,,,,1,,,,,,,,,,,
1986,Septiembre,,434,,,,,,,,,,,,,,,,,,,,,,,,
1986,Octubre,,539,,,,,,,,,,,,,,,,,,,,,,,,
1986,Noviembre,,437,,,,,,,1,,,1,,,,,,,,,,,,,,
1986,Diciembre,,350,,,,,,,,1,,,,,,1,,,,,,,,,,
1986,No especificado,,,,,,,,,4,28,21,19,,,,,,,,,,,,,,
1987,Total,,,4891,,,,,,16,48,40,39,1,,1,2,2,,2,,,,1,,,
1987,Enero,,,420,,,,,,1,,,1,,,,,1,,,,,,,,,
1987,Febrero,,,462,,,,,,,,,,,,,,,,1,,,,,,,
1987,Marzo,,,490,,,,,,,,,,,,,,,,1,,,,,,,
1987,Abril,,,405,,,,,,,1,,,,,,,,,,,,,,,,
1987,Mayo,,,411,,,,,,,,,,,,,,,,,,,,,,,
1987,Junio,,,412,,,,,,1,1,,,1,,1,,1,,,,,,,,,
1987,Julio,,,341,,,,,,,,,,,,,,,,,,,,1,,,
1987,Agosto,,,399,,,,,,1,,,,,,,1,,,,,,,,,,
1987,Septiembre,,,375,,,,,,,,,,,,,1,,,,,,,,,,
1987,Octubre,,,365,,,,,,,,,,,,,,,,,,,,,,,
1987,Noviembre,,,425,,,,,,,,,,,,,,,,,,,,,,,
1987,Diciembre,,,386,,,,,,,,,,,,,,,,,,,,,,,
1987,No especificado,,,,,,,,,13,46,40,38,,,,,,,,,,,,,,
1988,Total,,,,5525,,,,,22,55,50,32,2,3,3,2,,1,,,,1,1,,,
1988,Enero,,,,377,,,,,1,,,,,,,,,,,,,,,,,
1988,Febrero,,,,462,,,,,1,,,,,,1,,,,,,,,,,,
1988,Marzo,,,,488,,,,,1,,,,,,1,,,,,,,,,,,
1988,Abril,,,,405,,,,,,,,,2,,,,,,,,,,,,,
1988,Mayo,,,,492,,,,,,,,,,,,,,,,,,,,,,
1988,Junio,,,,538,,,,,,,1,,,2,,,,,,,,,,,,
1988,Julio,,,,332,,,,,,,,,,1,,,,,,,,,,,,
1988,Agosto,,,,590,,,,,1,,1,,,,,,,1,,,,1,,,,
1988,Septiembre,,,,458,,,,,,,,1,,,,1,,,,,,,,,,
1988,Octubre,,,,540,,,,,1,,1,1,,,,,,,,,,,,,,
1988,Noviembre,,,,522,,,,,,1,1,,,,,1,,,,,,,,,,
1988,Diciembre,,,,321,,,,,1,,,,,,1,,,,,,,,1,,,
1988,No especificado,,,,,,,,,16,54,46,30,,,,,,,,,,,,,,
1989,Total,,,,,5505,,,,29,91,56,45,3,2,3,2,2,,2,1,,,1,,,
1989,Enero,,,,,433,,,,1,1,,,1,,,1,,,,1,,,,,,
1989,Febrero,,,,,490,,,,,2,,,1,,1,,1,,,,,,1,,,
1989,Marzo,,,,,500,,,,,,,,,1,2,,,,,,,,,,,
1989,Abril,,,,,442,,,,1,,,,,,,,,,,,,,,,,
1989,Mayo,,,,,521,,,,,1,1,,,,,,,,,,,,,,,
1989,Junio,,,,,504,,,,,1,1,,1,,,,,,1,,,,,,,
1989,Julio,,,,,297,,,,,,,,,,,,,,,,,,,,,
1989,Agosto,,,,,517,,,,2,1,,,,,,,,,,,,,,,,
1989,Septiembre,,,,,454,,,,2,1,,,,1,,,,,,,,,,,,
1989,Octubre,,,,,513,,,,2,2,1,,,,,,,,,,,,,,,
1989,Noviembre,,,,,468,,,,2,2,2,,,,,1,1,,1,,,,,,,
1989,Diciembre,,,,,366,,,,,,,,,,,,,,,,,,,,,
1989,No especificado,,,,,,,,,19,80,51,45,,,,,,,,,,,,,,
1990,Total,,,,,,5610,,,59,115,95,65,1,3,4,1,3,2,1,,,,2,,2,
1990,Enero,,,,,,420,,,2,,,,,,,,1,,,,,,,,,
1990,Febrero,,,,,,495,,,5,1,1,,,1,,,,,,,,,,,,
1990,Marzo,,,,,,527,,,1,1,,,,,,,,1,,,,,,,,
1990,Abril,,,,,,468,,,5,,,,,2,1,1,,,,,,,1,,,
1990,Mayo,,,,,,474,,,4,,,,1,,,,,,,,,,,,,
1990,Junio,,,,,,549,,,1,,1,,,,,,,,,,,,,,,
1990,Julio,,,,,,326,,,3,,,,,,,,,,,,,,,,2,
1990,Agosto,,,,,,493,,,3,1,1,1,,,,,1,,,,,,,,,
1990,Septiembre,,,,,,530,,,1,2,,1,,,,,1,,,,,,,,,
1990,Octubre,,,,,,580,,,3,3,,,,,2,,,,,,,,1,,,
1990,Noviembre,,,,,,485,,,4,2,,2,,,,,,1,1,,,,,,,
1990,Diciembre,,,,,,263,,,3,,,1,,,1,,,,,,,,,,,
1990,No especificado,,,,,,,,,24,105,92,60,,,,,,,,,,,,,,
1991,Total,,,,,,,5871,,169,157,114,110,4,4,1,1,2,1,,,1,1,,1,2,
1991,Enero,,,,,,,441,,4,2,1,1,1,,,,,,,,,,,,,
1991,Febrero,,,,,,,485,,9,,2,2,,,,,,,,,,,,,1,
1991,Marzo,,,,,,,436,,4,1,1,,,1,,,1,,,,,,,,,
1991,Abril,,,,,,,549,,14,4,1,1,,,,,,1,,,,,,,,
1991,Mayo,,,,,,,511,,11,3,1,,,,,,,,,,,,,,,
1991,Junio,,,,,,,536,,9,1,,,1,,,,,,,,,,,,,
1991,Julio,,,,,,,373,,3,,1,1,,,,,,,,,,,,,,
1991,Agosto,,,,,,,514,,14,5,1,3,,1,,,,,,,1,1,,1,,
1991,Septiembre,,,,,,,513,,14,2,2,,,2,,,,,,,,,,,,
1991,Octubre,,,,,,,603,,18,3,2,,1,,1,,1,,,,,,,,1,
1991,Noviembre,,,,,,,535,,26,8,,1,1,,,1,,,,,,,,,,
1991,Diciembre,,,,,,,375,,11,1,,,,,,,,,,,,,,,,
1991,No especificado,,,,,,,,,32,127,102,101,,,,,,,,,,,,,,
1992,Total,,,,,,,,6375,1953,295,174,135,6,6,10,3,3,2,3,,1,2,,1,1,
1992,Enero,,,,,,,,558,48,7,1,1,1,,1,,1,,,,,,,,,
1992,Febrero,,,,,,,,515,51,6,1,,,,,,,,,,,,,1,1,
1992,Marzo,,,,,,,,677,60,8,1,1,1,,,,,1,1,,1,,,,,
1992,Abril,,,,,,,,570,73,4,1,1,,,1,1,1,,,,,,,,,
1992,Mayo,,,,,,,,531,97,6,,2,,1,2,,,,1,,,,,,,
1992,Junio,,,,,,,,640,143,11,,,1,,1,,,,1,,,1,,,,
1992,Julio,,,,,,,,380,99,7,2,,1,,1,,1,,,,,,,,,
1992,Agosto,,,,,,,,569,283,19,6,3,,1,,2,,,,,,1,,,,
1992,Septiembre,,,,,,,,510,269,13,6,1,,3,,,,,,,,,,,,
1992,Octubre,,,,,,,,571,344,22,2,2,2,,1,,,,,,,,,,,
1992,Noviembre,,,,,,,,489,294,25,1,2,,1,1,,,,,,,,,,,
1992,Diciembre,,,,,,,,365,170,22,5,2,,,2,,,1,,,,,,,,
1992,No especificado,,,,,,,,,22,145,148,120,,,,,,,,,,,,,,
1993,Total,,,,,,,,,3484,2283,345,169,18,6,4,4,1,,5,1,1,,2,1,,
1993,Enero,,,,,,,,,335,35,3,4,1,,,,,,1,,,,,,,
1993,Febrero,,,,,,,,,480,45,7,1,3,1,2,,,,,,,,,,,
1993,Marzo,,,,,,,,,523,73,5,4,1,1,,1,,,1,,,,,1,,
1993,Abril,,,,,,,,,342,73,8,3,2,,,,,,,,,,,,,
1993,Mayo,,,,,,,,,387,125,10,2,3,1,1,,,,,,,,,,,
1993,Junio,,,,,,,,,383,192,13,1,,2,1,,,,,,,,,,,
1993,Julio,,,,,,,,,248,90,3,2,,,,,,,1,,,,1,,,
1993,Agosto,,,,,,,,,300,302,23,5,,,,,,,,,,,,,,
1993,Septiembre,,,,,,,,,169,312,27,5,1,1,,3,,,1,,,,,,,
1993,Octubre,,,,,,,,,113,369,29,4,1,,,,,,1,1,1,,1,,,
1993,Noviembre,,,,,,,,,79,383,31,9,5,,,,1,,,,,,,,,
1993,Diciembre,,,,,,,,,108,179,15,3,1,,,,,,,,,,,,,
1993,No especificado,,,,,,,,,17,105,171,126,,,,,,,,,,,,,,
1994,Total,,,,,,,,,,3399,2476,350,28,11,10,7,5,2,1,1,4,,2,,1,
1994,Enero,,,,,,,,,,387,47,8,1,,2,,,,,,,,,,,
1994,Febrero,,,,,,,,,,494,62,12,1,1,1,1,1,,,,,,,,,
1994,Marzo,,,,,,,,,,490,83,9,4,,,,,,,,1,,,,,
1994,Abril,,,,,,,,,,405,88,10,3,,1,,2,,,,,,,,,
1994,Mayo,,,,,,,,,,399,145,6,2,1,1,,,,,,,,,,,
1994,Junio,,,,,,,,,,364,173,19,,,1,1,,,,,,,2,,,
1994,Julio,,,,,,,,,,152,117,10,,1,1,,,,,,,,,,,
1994,Agosto,,,,,,,,,,273,360,18,2,2,,2,1,,,1,,,,,1,
1994,Septiembre,,,,,,,,,,144,300,23,2,2,,1,,,,,1,,,,,
1994,Octubre,,,,,,,,,,78,393,33,2,3,3,,1,2,1,,2,,,,,
1994,Noviembre,,,,,,,,,,96,397,43,8,1,,2,,,,,,,,,,
1994,Diciembre,,,,,,,,,,94,188,9,3,,,,,,,,,,,,,
1994,No especificado,,,,,,,,,,23,123,150,,,,,,,,,,,,,,
1995,Total,,,,,,,,,,,3360,2427,144,24,10,7,4,3,4,3,7,4,,,,1
1995,Enero,,,,,,,,,,,450,47,5,,,,,1,,1,2,,,,,
1995,Febrero,,,,,,,,,,,439,74,7,3,1,,1,,,,1,1,,,,1
1995,Marzo,,,,,,,,,,,504,116,7,4,,,,,,,,,,,,
1995,Abril,,,,,,,,,,,344,81,7,,2,2,,,,,,,,,,
1995,Mayo,,,,,,,,,,,420,120,11,3,1,,,1,,1,1,,,,,
1995,Junio,,,,,,,,,,,322,197,11,2,,2,1,,1,,,,,,,
1995,Julio,,,,,,,,,,,152,109,5,3,2,1,,,,,1,1,,,,
1995,Agosto,,,,,,,,,,,308,334,13,2,1,1,,1,1,1,,,,,,
1995,Septiembre,,,,,,,,,,,159,278,17,2,,,,,,,1,,,,,
1995,Octubre,,,,,,,,,,,114,396,19,2,,,,,,,1,,,,,
1995,Noviembre,,,,,,,,,,,65,386,19,2,2,,1,,1,,,2,,,,
1995,Diciembre,,,,,,,,,,,66,186,23,1,1,1,1,,1,,,,,,,
1995,No especificado,,,,,,,,,,,17,103,,,,,,,,,,,,,,
1996,Total,,,,,,,,,,,,3439,2012,104,27,12,4,7,2,1,2,4,,1,,1
1996,Enero,,,,,,,,,,,,483,50,6,1,,,2,1,,,,,,,1
1996,Febrero,,,,,,,,,,,,503,62,3,5,,2,1,,,,1,,,,
1996,Marzo,,,,,,,,,,,,464,60,4,3,1,,,,,,,,,,
