Matrimonios,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Consulta de: Matrimonios   Por: Ent y mun registro   Según: Año de registro,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
,Total,659567,671640,658114,670523,707840,704456,743856,707422,665434,616654,584142,600563,595713,586978,595209,589352,558913
#NAME?,Aguascalientes,6842,6824,6450,6638,6921,7413,7092,7088,6610,6472,5972,5925,6016,6018,6390,6353,6256
#NAME?,Baja California,14488,14273,16089,15850,16053,15545,17847,16907,16242,15028,13712,14513,14247,14450,14442,14462,15953
#NAME?,Baja California Sur,2694,2758,3235,3416,3161,3254,3384,3174,3178,3062,2919,3303,3634,3739,3739,3670,3216
#NAME?,Campeche,5140,5359,4936,5339,5630,5916,6123,6000,5618,4911,4849,5125,4617,4686,4749,4932,4787
#NAME?,Coahuila de Zaragoza,18111,17901,17514,17363,18224,18891,19453,18565,17502,15462,15158,15386,15065,15992,16143,15994,14370
#NAME?,Colima,3111,3201,3551,3474,3770,4189,4057,3673,3706,3492,3214,3412,3430,3136,3219,3232,3172
#NAME?,Chiapas,17781,19835,19323,18115,19409,19862,27171,20263,17990,18042,17894,19093,18612,19863,20145,22410,22865
#NAME?,Chihuahua,20462,19586,18965,19204,18907,19127,19831,19804,20054,18242,16954,16147,16364,15443,16887,17852,16430
#NAME?,Distrito Federal,57460,57391,54886,54565,54992,53732,52707,51617,47918,42695,37152,42326,44658,42446,41427,33968,32083
#NAME?,Durango,11854,12574,12514,12443,13565,14073,14651,13822,12671,11568,10588,10631,11451,9793,11506,10925,10006
#NAME?,Guanajuato,39178,38459,36799,38071,39558,40114,42115,39613,37758,33888,33860,35268,36067,33944,35420,35841,30309
#NAME?,Guerrero,24073,27314,26051,25216,26335,25424,26724,27710,23644,23580,23319,24704,23999,23045,23966,24354,23395
#NAME?,Hidalgo,13492,13822,12937,13798,14054,14497,15101,15207,14104,13017,11134,11029,10208,10000,10106,10199,9116
#NAME?,Jalisco,53022,53074,50091,50063,51535,51986,53507,51760,47383,43286,41218,41813,41165,40694,40712,39932,38173
#NAME?,México,77916,83898,82109,81716,87981,90878,92864,83607,80864,74151,70496,72247,68747,66506,65849,68122,62780
#NAME?,Michoacán de Ocampo,37478,35565,35802,36180,37059,36319,38020,34545,33359,31644,30915,31259,29272,28998,28521,26885,27914
#NAME?,Morelos,10159,10210,8559,8274,9538,9538,10136,9808,9589,9005,8295,7685,7517,7430,7460,7705,6992
#NAME?,Nayarit,6351,6664,6271,7268,7388,7257,7648,7006,6818,6422,6388,6475,6509,6478,6035,5664,5409
#NAME?,Nuevo León,30950,31392,30949,31940,33899,35380,36239,34398,32029,30655,29607,29086,28364,28448,28929,28535,26096
#NAME?,Oaxaca,18784,19578,19191,21680,27920,20343,24113,23897,20301,18420,17416,20505,22828,19734,22040,21132,21232
#NAME?,Puebla,25017,21558,20739,21758,24178,25030,29747,28906,25811,23066,22130,21158,20922,22024,21827,21011,21378
#NAME?,Querétaro,9395,10034,9977,9886,10164,10054,10525,10459,9858,9462,9654,9079,8802,8932,8938,8879,8265
#NAME?,Quintana Roo,5487,5508,5850,6382,6529,7178,7969,8908,8467,8009,8928,10566,10295,11025,11530,10914,9472
#NAME?,San Luis Potosí,16056,16152,15543,16264,16426,16714,17500,16796,15568,14744,13926,14775,13909,13649,13403,13500,12999
#NAME?,Sinaloa,18078,20478,19662,21000,21551,21436,21931,20423,20054,19638,17567,18288,18047,18299,18327,18519,16313
#NAME?,Sonora,13187,13763,14765,16203,17259,16463,17227,17214,17366,16467,15020,14874,14511,15079,14984,15365,13774
#NAME?,Tabasco,11519,11194,11734,13466,13790,13310,14388,13421,13213,12873,12204,12824,12645,12505,12229,12952,13005
#NAME?,Tamaulipas,18983,20542,21141,19726,20333,20604,24269,21564,20726,19497,17338,17399,17615,18681,19312,18595,17765
#NAME?,Tlaxcala,7696,8242,8151,8218,8508,9228,8327,8627,7472,7256,6476,6611,6251,6240,5931,5295,4727
#NAME?,Veracruz de Ignacio de la Llave,38639,38461,39443,41766,45490,44411,46064,46963,45651,39453,36830,37348,37816,37256,38463,38731,38149
#NAME?,Yucatán,13225,13159,12274,12537,14726,13101,13840,13659,12736,12358,12224,10872,11933,12802,13036,14056,12695
#NAME?,Zacatecas,12939,12871,12613,12704,12987,13189,13286,12018,11174,10789,10785,10837,10197,9643,9544,9368,9817
FUENTE: INEGI. Estadísticas de nupcialidad.,,,,,,,,,,,,,,,,,,
