Divorcios,,,,,,,,,,,,,,,,,,,
Ent y mun de registro : Distrito Federal,,,,,,,,,,,,,,,,,,,
Ent y mun matrimonio : Distrito Federal,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Consulta de: Divorcios   Por: Año de demanda y Año del matrimonio   Según: Año registro hecho,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Total,Total,4836,5474,5692,5785,5374,5706,6066,6064,6472,6450,6222,5880,6204,6065,6324,6884,5775,7186
Total,1920,3,8,7,10,4,8,,22,,,,,,,,,,
Total,1921,,,,,1,1,,,,,,,,,,,,
Total,1922,1,,,1,1,,,,,,,,,,1,,,
Total,1923,,1,,1,2,,1,,1,,,,,,,,,
Total,1927,,,,,,,,1,,,,,,,,,,
Total,1929,,,,,,,1,,,,,,,,,,,
Total,1930,,,1,,,,,,,,,,,,,,,
Total,1931,,,,,,1,,,,,,,,,,,,
Total,1934,,,,,1,1,,,,,,,,,,,,
Total,1935,,,,1,,1,,,,1,,,,,,,,
Total,1936,,1,,,,,,,,,,,,,,,,
Total,1937,,,,,,2,,,,,,,,,,,,
Total,1938,1,1,,,,,,,,,,,,,,,,
Total,1939,2,,,,,1,,,,,,,,,,,,
Total,1940,1,1,1,,2,,,,,1,,,,,,,,
Total,1941,,,1,,,1,,,,1,,,,1,,,,
Total,1942,1,1,,1,,1,1,,,,,,,,,,1,
Total,1943,1,,2,1,,1,,,1,,,,1,,,,,
Total,1944,3,1,1,,1,,,1,1,,,,,,,,,
Total,1945,1,2,3,,,,2,,2,1,2,1,,1,,,1,
Total,1946,2,,,,1,,1,3,1,,1,,1,,,,,
Total,1947,1,2,,1,1,1,1,,,1,,,,1,,,,
Total,1948,4,1,5,3,3,2,3,1,,,1,,,,,,1,
Total,1949,3,1,2,3,5,,2,1,1,1,1,3,1,,,,1,
Total,1950,1,4,3,6,1,2,4,2,1,2,,2,1,1,1,,1,
Total,1951,4,2,2,2,3,,2,4,1,2,1,1,1,,,2,,
Total,1952,5,3,3,4,2,4,2,3,1,2,3,1,,1,,2,1,3
Total,1953,6,3,5,8,5,3,2,1,1,2,,,1,2,1,,,1
Total,1954,9,10,7,9,5,5,6,3,3,5,2,1,,2,2,,,3
Total,1955,6,5,7,4,5,8,4,7,5,3,2,4,5,5,,2,1,2
Total,1956,8,8,6,10,11,5,6,6,7,6,3,4,1,1,2,3,3,2
Total,1957,13,11,6,16,6,11,5,10,8,8,8,10,3,3,2,2,5,3
Total,1958,9,12,8,18,12,8,12,6,11,8,6,3,2,7,4,2,1,2
Total,1959,19,16,16,12,8,15,8,5,8,8,2,6,12,4,2,5,1,5
Total,1960,17,16,26,12,10,16,9,10,12,11,12,12,10,2,1,4,4,8
Total,1961,15,18,19,21,15,9,12,6,8,6,14,8,7,4,8,8,5,8
Total,1962,17,24,21,20,10,12,13,13,8,13,11,12,6,8,8,4,4,7
Total,1963,30,24,19,24,20,15,16,16,15,15,7,12,13,8,2,13,5,6
Total,1964,25,27,36,29,19,18,23,18,23,23,20,16,13,5,12,8,11,13
Total,1965,30,33,28,30,23,23,25,19,13,16,24,21,17,6,15,15,3,15
Total,1966,36,40,32,31,28,21,20,18,27,23,26,17,12,13,13,9,11,20
Total,1967,37,57,47,33,33,25,29,31,26,32,15,17,18,15,11,13,7,22
Total,1968,38,51,42,33,42,39,33,27,23,25,30,26,16,19,16,18,16,26
Total,1969,52,61,58,56,39,28,37,37,35,36,30,33,31,27,18,23,25,23
Total,1970,77,61,70,65,81,43,50,59,52,39,40,37,34,33,28,22,25,24
Total,1971,90,65,68,77,42,50,63,50,51,50,46,36,41,34,31,29,24,29
Total,1972,102,94,90,93,68,56,86,73,63,58,57,38,51,43,41,32,26,43
Total,1973,99,102,109,101,87,70,81,71,75,71,67,49,55,48,48,47,41,38
Total,1974,95,118,110,102,84,101,82,89,82,81,62,64,52,54,53,65,33,41
Total,1975,86,95,107,109,88,117,85,86,88,81,74,67,67,53,45,72,50,46
Total,1976,93,125,127,118,67,98,102,85,80,90,88,67,83,67,54,58,50,54
Total,1977,107,118,96,99,100,86,110,84,85,85,58,58,67,66,68,60,51,54
Total,1978,100,112,142,123,107,99,111,94,96,83,109,87,80,73,62,93,72,62
Total,1979,140,148,140,161,122,120,134,104,112,119,104,95,85,82,82,92,60,74
Total,1980,141,136,140,148,107,109,112,101,112,118,104,117,110,90,90,93,66,72
Total,1981,175,164,159,149,138,150,119,128,129,112,118,99,92,92,96,98,55,95
Total,1982,186,187,168,175,144,147,169,123,136,137,115,95,103,95,92,114,81,105
Total,1983,178,182,178,169,138,161,134,141,125,136,112,111,106,83,97,108,89,111
Total,1984,172,203,207,175,165,148,147,131,130,139,127,100,86,96,94,108,74,137
Total,1985,239,216,226,212,185,154,186,160,147,142,135,101,97,92,100,127,108,145
Total,1986,260,246,212,200,191,200,190,153,194,137,143,103,109,124,122,108,152,124
Total,1987,290,262,265,246,224,243,220,187,195,176,149,131,119,103,115,112,135,160
Total,1988,341,303,261,254,250,220,214,185,207,201,163,154,134,126,136,133,135,153
Total,1989,315,290,257,257,236,240,260,226,216,189,172,158,159,139,145,153,156,165
Total,1990,411,327,317,321,345,300,258,247,234,229,178,151,151,148,114,139,150,183
Total,1991,369,319,300,281,311,316,280,272,269,233,199,184,183,162,128,122,165,184
Total,1992,206,247,319,284,375,344,349,302,294,235,217,191,192,169,166,166,198,212
Total,1993,20,166,270,267,375,373,353,341,296,271,243,199,210,189,173,165,154,219
Total,1994,,20,138,268,373,388,407,325,338,316,261,228,232,191,174,183,200,211
Total,1995,,,16,138,412,406,345,420,373,335,290,242,226,219,193,211,190,233
Total,1996,,,,20,224,399,413,446,408,370,301,288,269,256,232,210,201,261
Total,1997,,,,,16,251,418,392,427,406,356,292,307,270,255,260,222,267
Total,1998,,,,,,29,262,444,445,480,347,331,325,289,275,297,248,289
Total,1999,,,,,,,31,246,440,432,458,373,407,324,346,317,266,289
Total,2000,,,,,,,,16,310,421,477,433,428,335,354,343,289,337
Total,2001,,,,,,,,,16,208,404,406,404,363,328,298,259,332
Total,2002,,,,,,,,,,14,195,371,402,402,380,353,295,271
Total,2003,,,,,,,,,,,23,194,361,358,398,377,241,294
Total,2004,,,,,,,,,,,,17,192,407,422,410,266,313
Total,2005,,,,,,,,,,,,,10,247,443,458,291,344
Total,2006,,,,,,,,,,,,,,7,220,436,257,349
Total,2007,,,,,,,,,,,,,,,5,272,217,332
Total,2008,,,,,,,,,,,,,,,,10,71,253
Total,2009,,,,,,,,,,,,,,,,,4,105
Total,2010,,,,,,,,,,,,,,,,,,7
Total,No especificado,143,723,786,773,,,15,12,4,4,9,3,3,,,,,
1920,Total,1,,,,,,,,,,,,,,,,,
1920,No especificado,1,,,,,,,,,,,,,,,,,
1959,Total,,,1,,,,,,,,,,,,,,,
1959,No especificado,,,1,,,,,,,,,,,,,,,
1962,Total,,1,,,,,,,,,,,,,,,,
1962,No especificado,,1,,,,,,,,,,,,,,,,
1963,Total,,,1,,,,,,,,,,,,,,,
1963,No especificado,,,1,,,,,,,,,,,,,,,
1967,Total,,2,,1,,,1,,,,,,,,,,,
1967,1967,,,,,,,1,,,,,,,,,,,
1967,No especificado,,2,,1,,,,,,,,,,,,,,
1968,Total,,,,1,,,,,,,,,,,,,,
1968,No especificado,,,,1,,,,,,,,,,,,,,
1969,Total,1,,,,,,,,,,,,,,,,,
1969,No especificado,1,,,,,,,,,,,,,,,,,
1970,Total,,,,,,,,1,,,,,,,,,,
1970,1963,,,,,,,,1,,,,,,,,,,
1971,Total,,2,1,1,,,,,,,,,,,,,,
1971,No especificado,,2,1,1,,,,,,,,,,,,,,
1972,Total,1,2,1,,,,,,,,,,,,,,,
1972,1951,1,,,,,,,,,,,,,,,,,
1972,No especificado,,2,1,,,,,,,,,,,,,,,
1973,Total,1,2,,,,,,1,,,,,,,,,,
1973,1964,1,,,,,,,,,,,,,,,,,
1973,1973,,,,,,,,1,,,,,,,,,,
1973,No especificado,,2,,,,,,,,,,,,,,,,
1974,Total,,1,3,1,,,,1,,,,,,,,,,
1974,1974,,,,,,,,1,,,,,,,,,,
1974,No especificado,,1,3,1,,,,,,,,,,,,,,
1975,Total,1,1,2,,,,,,,,,,,,,,,
1975,No especificado,1,1,2,,,,,,,,,,,,,,,
1976,Total,1,3,2,2,,,,,,,,,,,,,,
1976,1976,,,,1,,,,,,,,,,,,,,
1976,No especificado,1,3,2,1,,,,,,,,,,,,,,
1977,Total,2,2,2,6,,,1,,,,,,,,,,,
1977,1968,,,,,,,1,,,,,,,,,,,
1977,1970,,,,1,,,,,,,,,,,,,,
1977,No especificado,2,2,2,5,,,,,,,,,,,,,,
1978,Total,3,4,6,1,1,,,,,,,,,,,,,
1978,1965,,,,,1,,,,,,,,,,,,,
1978,No especificado,3,4,6,1,,,,,,,,,,,,,,
1979,Total,,8,3,1,,,,,,,,,,,,,,
1979,1978,,1,,,,,,,,,,,,,,,,
1979,No especificado,,7,3,1,,,,,,,,,,,,,,
1980,Total,,4,6,5,,,,,,,1,,2,,,1,1,
1980,1966,,,,,,,,,,,,,,,,,1,
1980,1972,,,,,,,,,,,,,,,,1,,
1980,1973,,1,,,,,,,,,,,,,,,,
1980,1975,,,,,,,,,,,,,1,,,,,
1980,1976,,,,,,,,,,,,,1,,,,,
1980,1977,,,,,,,,,,,1,,,,,,,
1980,1980,,1,,,,,,,,,,,,,,,,
1980,No especificado,,2,6,5,,,,,,,,,,,,,,
1981,Total,1,9,10,6,,,1,,,,2,,1,,,,,
1981,1971,,,,,,,1,,,,,,1,,,,,
1981,1973,,,,,,,,,,,1,,,,,,,
1981,1977,1,,,,,,,,,,,,,,,,,
1981,1979,,1,,,,,,,,,,,,,,,,
1981,1981,,,,,,,,,,,1,,,,,,,
1981,No especificado,,8,10,6,,,,,,,,,,,,,,
1982,Total,5,13,4,3,,,2,,,1,,,,,,,,
1982,1966,,,,,,,,,,1,,,,,,,,
1982,1969,1,,,,,,,,,,,,,,,,,
1982,1973,,,1,,,,,,,,,,,,,,,
1982,1976,,,,,,,1,,,,,,,,,,,
1982,1981,1,,,,,,,,,,,,,,,,,
1982,1982,,,,,,,1,,,,,,,,,,,
1982,No especificado,3,13,3,3,,,,,,,,,,,,,,
1983,Total,5,15,8,10,,,1,1,,2,,,1,,,,,
1983,1968,,,,,,,1,,,,,,,,,,,
