Divorcios,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ent y mun de registro : Distrito Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Consulta de: Divorcios   Por: Año de demanda y Año del matrimonio   Según: Año registro hecho,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Total,Total,3326,4281,4891,5525,5505,5610,5871,6375,5786,6609,6831,6904,6410,6806,7263,7265,7724,7691,7418,6785,7106,6924,7035,7692,9386,11053
Total,1901,,,1,,,,,,,,,,,,,,,,,,,,,,,
Total,1905,,,,1,,,,,,,,,,,,,,,,,,,,,,
Total,1907,,1,,1,1,3,,,,,,,,,,,,,,,,,,,,
Total,1908,,,,,,1,1,,,,,,,,,,,,,,,,,,,
Total,1909,,,,,,1,,,,,,,,,,,,,,,,,,,,
Total,1915,,,,,,,1,,,,,,,,,,,,,,,,,,,
Total,1918,,,,1,,,,1,,,,,,,,,,,,,,,,,,
Total,1920,,,,,,,,,6,10,8,14,5,9,,25,,,,,,,,,,
Total,1921,,,,,,,,1,,,,,2,1,,,,,,,,,,,,
Total,1922,,,,,,,,,1,,,1,1,,,,,,,,,,1,,,
Total,1923,,,,,,1,,,,1,,1,2,,1,,1,,,,,,,,,
Total,1925,,1,,,,,,,,,,,1,,,,,,,,,,,,,
Total,1927,,,,,1,,,,,,,,,,,1,,,,,,,,,,
Total,1929,,1,,,,,,,,,,,,,1,,,,,,,,,,,
Total,1930,,,,,,,,,,,1,,,,,,,,,,,,,,,
Total,1931,,,,,,,,,2,,1,,,1,,,,,,,,,,,,
Total,1933,,,,1,,,1,,,,,,,,,,,,,,,,,,,
Total,1934,,,,,,,,,1,1,,1,1,1,,,,,,,,,,,,
Total,1935,,,,,,,,1,1,,,1,,1,,,,1,,,,,,,,
Total,1936,1,,,,,,2,,,1,,,,,,,,,,,,,,,,
Total,1937,,,,1,,1,,,,,,,,2,,,,,,,,1,,,,
Total,1938,2,,,,,,,,1,1,,,,,,,,,,,,,,,,
Total,1939,,1,,3,,3,,,2,,,1,,2,,,,,,,,,,,,
Total,1940,1,,1,1,1,,,,1,3,1,,2,,,,,2,,,,,,,,
Total,1941,,2,2,1,1,2,,1,,,1,,,1,,,,1,,,,1,,,,
Total,1942,3,1,2,3,,2,,,1,1,1,2,,1,1,,,,,,,,,,1,
Total,1943,1,,3,2,5,1,2,1,1,,2,1,,1,,,1,,,,1,,,,,
Total,1944,1,3,5,3,,3,3,,3,1,2,,1,,,1,1,,,,,,,,,
Total,1945,2,1,2,6,1,2,2,4,2,2,4,,,,3,1,2,1,3,1,,1,,,1,
Total,1946,,5,6,9,2,4,3,1,2,,1,,2,,1,3,1,,1,,1,,,1,,
Total,1947,4,4,3,7,7,6,3,4,1,2,,2,1,2,1,,1,1,,,,1,,,,1
Total,1948,5,7,5,4,5,8,1,4,4,1,7,3,3,4,3,1,1,1,1,1,,,,,1,
Total,1949,11,8,7,12,6,5,3,5,3,3,2,4,5,,2,1,2,1,2,3,1,,,,1,
Total,1950,2,8,9,6,7,10,8,2,4,4,3,9,2,2,6,3,2,2,,2,2,1,1,,1,
Total,1951,5,11,15,6,14,9,10,7,5,3,3,3,5,2,2,6,2,3,1,1,2,1,,2,1,
Total,1952,10,9,12,12,6,5,11,11,5,5,5,7,3,4,4,3,1,2,3,2,,1,,2,2,3
Total,1953,7,11,13,10,14,6,10,5,6,5,6,8,5,3,3,1,2,4,1,,2,2,1,,,1
Total,1954,10,13,12,15,17,14,4,13,10,11,10,9,5,5,8,4,3,5,3,1,,2,4,,,4
Total,1955,13,15,16,26,7,14,9,10,7,10,7,5,7,11,4,7,7,5,2,4,6,5,,2,1,2
Total,1956,14,12,13,13,15,14,13,9,9,9,6,13,12,8,6,7,8,7,3,5,1,1,2,5,3,2
Total,1957,20,20,18,21,16,14,17,16,16,12,7,16,8,14,6,10,8,11,8,10,4,3,2,2,8,3
Total,1958,27,22,22,24,20,25,14,21,13,17,13,18,15,10,16,8,12,9,6,4,3,7,5,2,2,3
Total,1959,20,16,21,29,24,32,19,22,21,17,20,15,14,18,10,5,11,8,2,8,12,4,4,6,2,7
Total,1960,19,24,29,25,30,27,27,17,19,20,33,16,15,18,13,13,14,14,13,13,10,3,1,5,7,9
Total,1961,19,32,22,26,22,31,26,27,20,20,23,24,17,10,14,8,8,6,15,10,8,6,8,8,11,9
Total,1962,21,27,30,30,26,30,23,36,21,30,23,22,15,14,18,15,12,17,12,12,9,11,8,5,5,10
Total,1963,30,36,32,45,31,34,36,30,35,31,22,27,23,17,22,18,21,17,10,14,15,10,2,14,7,9
Total,1964,28,45,41,33,49,41,38,40,30,35,45,36,20,23,25,24,24,27,25,18,17,5,14,10,16,17
