Divorcios,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ent y mun de registro : Distrito Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Consulta de: Divorcios   Por: Año de demanda y Ent y mun matrimonio   Según: Año registro hecho,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Total,,Total,3326,4281,4891,5525,5505,5610,5871,6375,5786,6609,6831,6904,6410,6806,7263,7265,7724,7691,7418,6785,7106,6924,7035,7692,9386,11053
Total,#NAME?,Aguascalientes,,,,,,,,,2,7,2,3,5,1,3,5,5,5,3,3,3,2,2,3,3,8
Total,#NAME?,Baja California,,,,,,,,,8,7,8,7,5,9,5,6,4,11,6,9,4,3,1,5,5,7
Total,#NAME?,Baja California Sur,,,,,,,,,4,,2,2,3,2,1,,,3,3,3,,2,,,320,335
Total,#NAME?,Campeche,,,,,,,,,2,2,4,1,4,1,1,4,3,2,3,4,,1,1,2,44,43
Total,#NAME?,Coahuila de Zaragoza,,,,,,,,,5,8,7,9,4,3,5,5,8,10,3,4,3,8,1,2,323,242
Total,#NAME?,Colima,,,,,,,,,,1,2,2,,,,2,3,1,4,3,1,1,3,3,111,90
Total,#NAME?,Chiapas,,,,,,,,,6,18,5,4,13,11,8,8,11,10,10,8,5,5,6,4,285,289
Total,#NAME?,Chihuahua,,,,,,,,,6,10,5,7,9,7,4,3,6,8,8,6,6,6,1,1,62,66
Total,#NAME?,Distrito Federal,,,,,,,,,4836,5474,5692,5785,5374,5706,6066,6064,6472,6450,6222,5880,6204,6065,6324,6884,5775,7186
Total,#NAME?,Durango,,,,,,,,,1,3,6,3,3,3,2,1,4,2,5,3,2,3,,,154,164
Total,#NAME?,Guanajuato,,,,,,,,,18,14,18,21,15,21,9,18,27,17,18,9,11,10,12,12,60,79
Total,#NAME?,Guerrero,,,,,,,,,37,38,49,46,35,34,38,50,29,51,50,37,25,38,29,33,179,210
Total,#NAME?,Hidalgo,,,,,,,,,54,67,51,55,47,57,52,64,49,58,64,32,33,54,46,40,146,153
Total,#NAME?,Jalisco,,,,,,,,,21,33,17,29,18,19,27,22,36,21,20,13,14,17,9,16,252,152
Total,#NAME?,México,,,,,,,,,482,582,605,626,578,598,673,673,702,742,704,533,559,496,444,496,1049,1301
Total,#NAME?,Michoacán de Ocampo,,,,,,,,,27,32,35,32,24,30,42,39,36,37,37,28,24,19,14,20,213,213
Total,#NAME?,Morelos,,,,,,,,,42,51,66,54,60,51,65,79,81,65,77,55,65,57,40,39,175,249
Total,#NAME?,Nayarit,,,,,,,,,1,2,3,3,2,2,4,3,2,2,,1,1,4,,,6,7
Total,#NAME?,Nuevo León,,,,,,,,,9,12,9,9,8,8,10,5,8,10,6,10,8,2,2,7,7,9
Total,#NAME?,Oaxaca,,,,,,,,,10,14,22,18,24,24,26,19,24,17,18,16,10,16,12,14,28,33
Total,#NAME?,Puebla,,,,,,,,,42,53,54,65,46,40,43,46,43,49,50,43,28,41,18,35,56,55
Total,#NAME?,Querétaro,,,,,,,,,12,10,14,3,8,9,13,10,15,10,7,11,4,5,11,10,14,17
Total,#NAME?,Quintana Roo,,,,,,,,,2,2,3,4,3,6,10,4,6,9,,1,1,5,6,2,6,8
Total,#NAME?,San Luís Potosí,,,,,,,,,4,7,8,12,5,8,7,7,13,8,7,6,4,2,4,2,8,10
Total,#NAME?,Sinaloa,,,,,,,,,7,12,9,9,6,10,9,5,9,11,10,6,10,2,2,5,9,10
Total,#NAME?,Sonora,,,,,,,,,3,5,4,3,1,1,8,3,3,4,7,1,7,3,2,1,3,6
Total,#NAME?,Tabasco,,,,,,,,,6,2,1,4,4,6,3,3,4,4,5,4,4,8,9,8,1,3
Total,#NAME?,Tamaulipas,,,,,,,,,11,12,11,8,7,8,13,9,9,8,9,7,5,7,7,5,10,12
Total,#NAME?,Tlaxcala,,,,,,,,,28,28,25,16,21,23,31,21,28,19,23,15,20,17,9,12,20,35
Total,#NAME?,Veracruz de Ignacio de la Llave,,,,,,,,,42,36,53,44,43,53,36,49,44,41,31,30,41,23,16,23,54,54
Total,#NAME?,Yucatán,,,,,,,,,4,5,6,3,1,5,4,3,4,3,3,2,2,2,3,3,6,2
Total,#NAME?,Zacatecas,,,,,,,,,3,1,1,1,1,6,3,2,2,3,5,2,2,,1,5,2,5
Total,#NAME?,No especificado,,,,,,,,,51,61,34,16,33,44,42,33,34,,,,,,,,,
Total,#NAME?,No disponible,3326,4281,4891,5525,5505,5610,5871,6375,,,,,,,,,,,,,,,,,,
1920,,Total,,,,,,,,,1,1,,,,,,,,,,,,,,,,
1920,#NAME?,Distrito Federal,,,,,,,,,1,,,,,,,,,,,,,,,,,
1920,#NAME?,No especificado,,,,,,,,,,1,,,,,,,,,,,,,,,,
1959,,Total,,,,,,,,,,,1,,,,,,,,,,,,,,,
1959,#NAME?,Distrito Federal,,,,,,,,,,,1,,,,,,,,,,,,,,,
1962,,Total,,,,,,,,,,1,,,,,,,,,,,,,,,,
1962,#NAME?,Distrito Federal,,,,,,,,,,1,,,,,,,,,,,,,,,,
1963,,Total,,,,,,,,,,,1,,,,,,,,,,,,,,,
1963,#NAME?,Distrito Federal,,,,,,,,,,,1,,,,,,,,,,,,,,,
1965,,Total,,,,,,,,,,1,,,,,,,,,,,,,,,,
1965,#NAME?,Hidalgo,,,,,,,,,,1,,,,,,,,,,,,,,,,
1966,,Total,,,,,,,,,,,1,,,,,,,,,,,,,,,
1966,#NAME?,Baja California,,,,,,,,,,,1,,,,,,,,,,,,,,,
1967,,Total,,,,,,,,,,2,,1,,,1,,,,,,,,,,,
1967,#NAME?,Distrito Federal,,,,,,,,,,2,,1,,,1,,,,,,,,,,,
1968,,Total,,,,,,,,,,,,1,,,,,,,,,,,,,,
1968,#NAME?,Distrito Federal,,,,,,,,,,,,1,,,,,,,,,,,,,,
1969,,Total,,,,,,,,,1,,,,,,,,,,,,,,,,,
1969,#NAME?,Distrito Federal,,,,,,,,,1,,,,,,,,,,,,,,,,,
1970,,Total,,,,,,,,,,,,,,,,1,,,,,,,,,,
1970,#NAME?,Distrito Federal,,,,,,,,,,,,,,,,1,,,,,,,,,,
1971,,Total,,,,,,,,,,3,1,1,,,,,,,,,,,,,,
1971,#NAME?,Chiapas,,,,,,,,,,1,,,,,,,,,,,,,,,,
1971,#NAME?,Distrito Federal,,,,,,,,,,2,1,1,,,,,,,,,,,,,,
1972,,Total,,,,,,,,,1,2,2,,,,,,,,,,,,,,,
1972,#NAME?,Distrito Federal,,,,,,,,,1,2,1,,,,,,,,,,,,,,,
1972,#NAME?,México,,,,,,,,,,,1,,,,,,,,,,,,,,,
1973,,Total,,,,,,,,,1,2,,1,,,,1,,,,,,,,,,
1973,#NAME?,Coahuila de Zaragoza,,,,,,,,,,,,1,,,,,,,,,,,,,,
