Matrimonios,,,,,,,,,,,,,,,,,
Ent y mun registro : Distrito Federal,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Consulta de: Matrimonios   Por: Mes de registro   Según: Año de registro,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
Total,57460,57391,54886,54565,54992,53732,52707,51617,47918,42695,37152,42326,44658,42446,41427,33968,32083
Enero,4012,4119,4137,3766,3903,3642,3549,3638,3286,2976,2535,2076,2940,2738,2541,2037,2018
Febrero,4841,4824,4715,4573,4703,4578,4126,4458,4122,3818,3198,2924,3931,3778,3400,2887,3104
Marzo,5301,5272,5203,5122,4218,4770,4988,4843,4754,3849,3461,3640,3933,4201,3890,2538,2853
Abril,4527,4294,4045,3958,4958,4367,4158,4117,3669,4032,3204,3734,4237,3339,3093,3300,2580
Mayo,4369,4771,4351,4588,4439,4202,4169,4216,3949,3745,2939,3945,3538,3671,3568,2709,2176
Junio,4265,4364,4360,3703,4032,4134,4009,4299,3730,3063,2722,3351,3933,3490,3458,2696,2439
Julio,4851,4606,4175,4467,4484,4474,4295,3932,3699,3388,3048,3613,3443,3346,3651,2729,2576
Agosto,4542,4558,4556,4583,4586,4144,4236,4359,4071,3572,3110,3611,3517,3535,3509,2767,2729
Septiembre,4297,4186,3963,3925,3910,3828,3977,3913,3561,2917,2675,3257,3323,3451,3055,2468,2656
Octubre,5063,5011,4579,4968,5059,5014,4808,4426,4296,3739,3355,3863,3773,3607,3943,3328,2916
Noviembre,5213,5373,5065,5129,4837,4963,4854,4699,4297,3754,3206,4060,4125,3972,3648,3094,2827
Diciembre,6179,6013,5737,5783,5863,5616,5538,4717,4484,3842,3699,4252,3965,3318,3671,3415,3209
FUENTE: INEGI. Estadísticas de nupcialidad.,,,,,,,,,,,,,,,,,
